Startup received!

I ,time,shin_cal_tot,shin_cal_gyr,shin_cal_acc,shin_cal_mag | foot_cal_tot,foot_cal_gyr,foot_cal_acc,foot_cal_mag | shin_qw,shin_qx,shin_qy,shin_qz | foot_qw,foot_qx,foot_qy,foot_qz | shin_ax,shin_ay,shin_az | foot_ax,foot_ay,foot_az
F ,time | val
L ,time | val
M ,time | potL_cur,potR_cur | potL_adj,potR_adj | targetPotL,targetPotR | motorCmdL,motorCmdR
LOG,time | msg
ERR,msg

LOG,97977 | Motors started.
M ,99393,873,248,873.0,248.0,923,100,1532,1400
I ,99402,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.68,-1.03,2.48,-0.52,9.43
F ,99402,274
L ,99402,106
F ,99413,275
I ,99473,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.67,-1.05,2.5,-0.52,9.42
F ,99473,276
F ,99493,276
L ,99493,107
M ,99493,873,248,873.0,248.0,923,100,1532,1400
F ,99502,276
L ,99502,106
M ,99502,873,247,873.0,247.0,923,100,1532,1400
I ,99534,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.69,-1.05,2.49,-0.55,9.4
F ,99534,276
L ,99534,107
M ,99534,873,248,873.0,248.0,923,100,1532,1400
I ,99544,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.68,-1.03,2.49,-0.54,9.4
F ,99544,275
L ,99544,107
M ,99544,873,248,873.0,248.0,923,100,1532,1400
F ,99552,277
L ,99428,1532
I ,99573,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.71,-0.68,-1.09,2.5,-0.52,9.4
F ,99573,276
L ,99574,106
M ,99574,873,249,873.0,249.0,923,100,1532,1400
M ,99594,873,247,873.0,247.0,923,100,1532,1400
I ,99602,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.68,-1.11,2.5,-0.55,9.43
F ,99602,266
F ,99613,275
L ,99614,107
I ,99623,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.69,-0.69,-1.07,2.51,-0.52,9.43
F ,99624,275
L ,99624,107
I ,99652,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.67,-0.68,-1.05,2.49,-0.54,9.4
F ,99652,275
L ,99652,106
F ,99664,276
L ,99664,106
I ,99673,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.69,-0.68,-1.03,2.51,-0.56,9.43
F ,99674,326
L ,99693,107
F ,99702,276
L ,99702,107
