Startup received!

I ,shin_cal_tot,shin_cal_gyr,shin_cal_acc,shin_cal_mag | foot_cal_tot,foot_cal_gyr,foot_cal_acc,foot_cal_mag | shin_qw,shin_qx,shin_qy,shin_qz | foot_qw,foot_qx,foot_qy,foot_qz | shin_ax,shin_ay,shin_az | foot_ax,foot_ay,foot_az
F ,time | val
L ,time | val
M ,time | potL_cur,potR_cur | potL_adj,potR_adj | targetPotL,targetPotR | motorCmdL,motorCmdR
LOG,time | msg
ERR,msg

LOG,32373 | Motors started.
I ,2,3,0,2,0,3,1,2,0.0,0.5325,0.3305,0.6756,0.7565,0.1326,0.0,0.6248,11.46,5.09,0.8,9.17,3.08,12.28
F ,33930,83
L ,33802,18720
I ,2,3,0,2,0,3,1,2,0.0,0.5333,0.3252,0.6755,0.7662,0.1307,0.0,0.6145,10.89,5.15,0.55,6.86,12.8,0.23
M ,33960,875,237,,,323,700,1290,18720
F ,33970,59
L ,33970,94
M ,33970,875,237,,,323,700,1400,1600
I ,2,3,0,2,0,3,1,2,0.0,0.5405,0.3066,0.6809,0.7928,0.133,0.2633,0.8193,7.68,5.12,7.69,5.12,0.21,181.87
F ,33989,60
L ,33989,94
M ,33990,875,237,,,323,700,1400,1600
I ,1,3,0,2,0,3,1,2,0.0,0.553,0.2832,0.6884,0.8187,0.1094,0.0,0.5454,8.02,8.9,2.46,9.21,1.75,0.0
F ,33999,58
L ,33999,93
M ,34000,875,237,,,323,700,1400,1600
I ,1,3,0,2,0,3,1,2,0.0,0.561,0.2694,0.6922,0.8331,0.0902,0.0,0.5228,7.0,7.46,2.8,15.39,0.0,0.2
F ,34009,66
L ,34009,93
M ,34010,875,237,,,323,700,1400,1600
I ,1,3,0,2,0,3,1,2,0.0,0.5737,0.2502,0.696,0.8477,0.0728,0.0,0.4977,7.57,6.0,0.0,13.02,0.0,0.0
F ,34020,52
L ,34020,94
M ,34020,875,237,,,323,700,1400,1600
I ,1,3,0,2,0,3,1,2,0.0,0.5861,0.2308,0.6993,0.8615,0.0593,0.0,0.4708,6.78,4.51,0.54,13.69,0.25,0.74
F ,34030,54
L ,34030,94
M ,34030,875,237,,,323,700,1400,1600
I ,1,3,0,2,0,3,1,2,0.0,0.6012,0.2081,0.7022,0.8746,0.0488,0.0,0.4432,6.59,0.76,0.0,13.72,0.15,1.95
F ,34039,54
L ,34039,94
M ,34040,875,237,,,323,700,1400,1600
I ,1,3,0,2,0,3,1,2,0.0,0.6166,0.1853,0.7042,0.8862,0.0409,0.0,0.4157,7.48,1.39,0.0,15.4,0.51,6.53
F ,34049,54
L ,34049,93
M ,34050,875,238,,,323,700,1400,1600
I ,1,3,0,2,0,3,1,2,0.0,0.6313,0.1622,0.7053,0.8965,0.0337,0.0,0.3887,7.73,1.89,0.0,10.58,69.87,92.08
F ,34089,49
L ,34089,94
M ,34090,875,237,,,323,700,1400,1600
I ,0,3,0,2,0,3,1,2,0.0,0.6851,0.0896,0.6943,0.9276,0.0058,0.0,0.2828,7.53,1.45,0.0,9.36,0.0,3.33
F ,34099,45
L ,34099,93
M ,34100,875,237,,,323,700,1400,1600
L ,34103,94
I ,0,3,0,2,0,3,1,2,0.0,0.6971,0.0734,0.6895,0.9328,0.0017,0.0,0.2567,9.38,2.33,0.0,9.36,0.0,3.33
F ,34109,48
M ,34110,875,237,,,323,700,1400,1600
F ,34113,44
F ,34139,54
L ,34139,94
M ,34140,875,237,,,323,700,1400,1600
I ,0,3,0,2,0,3,1,2,0.0,0.739,0.0197,0.64,6.0673,1.7154,4.8133,3.0726,163.94,187.2,0.03,0.02,0.1,187.2
F ,34169,55
L ,172564480,768
F ,34219,62
L ,34219,94
M ,34220,875,237,,,923,100,1530,1404
I ,0,3,0,2,0,3,1,2,0.0086,0.7943,0.0,0.6015,0.9443,0.0,0.0,0.004,10.43,0.0,0.0,1.84,0.0,11.84
