I ,67681,3,3,0,3,0,3,1,3,0.1846,0.7349,-0.2238,0.6129,0.4575,0.1981,-0.1197,0.8585,7.75,1.23,-5.51,11.46,-4.92,13.47
F ,67681,61
L ,67681,120
I ,67692,3,3,0,3,1,3,1,3,0.1812,0.7191,-0.2202,0.6336,0.4537,0.1754,-0.1163,0.8658,8.46,1.27,-5.38,12.19,-4.84,14.3
F ,67692,59
L ,67692,111
F ,67697,53
L ,67697,109
I ,67704,3,3,0,3,1,3,1,3,0.1771,0.703,-0.2163,0.6538,0.4487,0.1523,-0.1133,0.8732,8.85,1.01,-5.26,13.71,-3.5,16.06
I ,67714,3,3,0,3,1,3,1,3,0.1727,0.6864,-0.2122,0.6737,0.4425,0.1286,-0.1104,0.8805,9.31,0.76,-5.28,14.65,-2.81,16.78
F ,67714,54
L ,67714,107
I ,67724,3,3,0,3,1,3,1,3,0.1682,0.6694,-0.2081,0.6929,0.4353,0.1046,-0.108,0.8876,10.01,-0.01,-4.15,14.65,-2.81,16.78
F ,67724,56
L ,67724,107
I ,67731,3,3,0,3,1,3,1,3,0.1637,0.6522,-0.2043,0.7113,0.4273,0.0805,-0.1062,0.8942,10.56,-0.09,-4.05,15.43,-1.75,16.87
F ,67731,58
L ,67731,106
I ,67742,3,3,0,3,1,3,1,3,0.1596,0.6348,-0.2009,0.7287,0.419,0.0559,-0.1048,0.9001,11.23,-0.15,-3.58,15.23,-0.33,15.22
F ,67742,53
L ,67742,107
L ,67747,107
I ,67754,3,3,0,3,1,3,1,3,0.1558,0.6173,-0.198,0.7453,0.4108,0.0316,-0.1033,0.9052,9.98,-0.14,-2.04,16.12,2.59,10.52
F ,67754,59
I ,67764,3,3,0,3,1,3,1,3,0.1519,0.6001,-0.1959,0.7604,0.4034,0.0085,-0.1017,0.9093,8.97,-0.1,-0.49,16.12,2.59,10.52
F ,67764,57
L ,67764,107
I ,67774,3,3,0,3,1,3,1,3,0.1481,0.5834,-0.1946,0.7744,0.3972,-0.0134,-0.1004,0.9121,8.77,-0.15,0.93,16.71,3.0,9.1
F ,67774,57
L ,67774,107
I ,67781,3,3,0,3,1,3,1,3,0.1441,0.5678,-0.1941,0.7868,0.3926,-0.0341,-0.0993,0.9136,8.97,0.07,1.66,17.02,3.71,5.63
F ,67781,58
L ,67781,106
I ,67792,3,3,0,3,2,3,1,3,0.1401,0.5534,-0.1948,0.7976,0.3894,-0.053,-0.0993,0.9141,9.01,0.1,2.42,17.39,4.25,4.34
F ,67792,55
L ,67792,107
I ,67804,3,3,0,3,2,3,1,3,0.1365,0.5405,-0.1968,0.8064,0.3873,-0.0701,-0.101,0.9136,7.78,-1.12,2.68,18.87,5.94,1.28
F ,67804,56
L ,67804,106
