Startup received!

I ,shin_cal_tot,shin_cal_gyr,shin_cal_acc,shin_cal_mag | foot_cal_tot,foot_cal_gyr,foot_cal_acc,foot_cal_mag | shin_qw,shin_qx,shin_qy,shin_qz | foot_qw,foot_qx,foot_qy,foot_qz | shin_ax,shin_ay,shin_az | foot_ax,foot_ay,foot_az
F ,time | val
L ,time | val
M ,time | potL_cur,potR_cur | potL_adj,potR_adj | targetPotL,targetPotR | motorCmdL,motorCmdR
LOG,time | msg
ERR,msg

LOG,14863 | Motors started.
I ,3,3,0,2,0,3,1,2,0.2084,0.7125,-0.1229,0.6585,0.9895,0.0038,-0.1336,0.0549,9.39,0.62,-0.82,2.98,-0.01,9.34
F ,15977,83
M ,15979,876,248,876.0,248.0,323,700,1400,1600
F ,15983,267
L ,15983,106
I ,3,3,0,2,0,3,1,2,0.2086,0.7128,-0.1232,0.658,0.9894,0.0043,-0.134,0.0545,9.43,0.73,-0.86,3.01,0.0,9.35
M ,15989,877,248,877.0,248.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.2086,0.7132,-0.1234,0.6575,0.9894,0.0048,-0.1344,0.0541,9.4,0.76,-0.95,3.0,-0.03,9.39
F ,15999,255
L ,15999,106
M ,15999,876,249,876.0,249.0,323,700,1400,1600
F ,16003,0
L ,16003,106
I ,3,3,0,2,0,3,1,2,0.2086,0.7137,-0.1235,0.6571,0.9893,0.0054,-0.1348,0.0538,9.39,0.85,-1.0,3.01,0.0,9.35
